icao,iata,name,country,callsign
RNX,1T,1Time Airline,South Africa,NEXTIME
MLA,Q5,40-Mile Air,United States,MILE-AIR
AAA,AN,Ansett Australia,Australia,ANSETT
AAF,ZI,Aigle Azur,France,AIGLE AZUR
AAH,AQ,Aloha Airlines,United States,ALOHA
AAL,AA,American Airlines,United States,AMERICAN
AAR,OZ,Asiana Airlines,Republic of Korea,ASIANA
AAS,4K,Askari Aviation,Pakistan,AL-AAS
AAW,8U,Afriqiyah Airways,Libya,AFRIQIYAH
AAY,G4,Allegiant Air,United States,ALLEGIANT
TUS,M3,ABSA - Aerolinhas Brasileiras,Brazil,ABSA Cargo
ACP,8V,Astral Aviation,Kenya,ASTRAL CARGO
ADE,ZY,Ada Air,Albania,ADA AIR
ADR,JP,Adria Airways,Slovenia,ADRIA
AEA,UX,Air Europa,Spain,EUROPA
AEB,EM,Aero Benin,Benin,AEROBEN
AEE,A3,Aegean Airlines,Greece,AEGEAN
AEL,PE,Air Europe,Italy,AIR EUROPE
AER,KO,Alaska Central Express,United States,ACE AIR
AEU,5W,Astraeus,United Kingdom,FLYSTAR
AEW,VV,Aerosvit Airlines,Ukraine,AEROSVIT
AEY,I9,Air Italy,Italy,AIR ITALY
UTY,QQ,Alliance Airlines,Australia,UNITY
AFG,FG,Ariana Afghan Airlines,Afghanistan,ARIANA
AFL,SU,Aeroflot Russian Airlines,Russia,AEROFLOT
BON,JA,Air Bosna,Bosnia and Herzegovina,AIR BOSNA
AFR,AF,Air France,France,AIRFRANS
ACI,SB,Air Caledonie International,France,AIRCALIN
SNC,2Q,Air Cargo Carriers,United States,NIGHT CARGO
NMB,SW,Air Namibia,Namibia,NAMIBIA
SLI,5D,Aerolitoral,Mexico,COSTERA
AGV,7T,Air Glaciers,Switzerland,AIR GLACIERS
PLI,PL,Aeroper,Peru,Aeroperu
BMM,8A,Atlas Blue,Morocco,ATLAS BLUE
AHY,J2,Azerbaijan Airlines,Azerbaijan,AZAL
AIA,U3,Avies,Estonia,AVIES
ABQ,ED,Airblue,Pakistan,PAKBLUE
BER,AB,Air Berlin,Germany,AIR BERLIN
AIC,AI,Air India Limited,India,AIRINDIA
BUB,ZB,Air Bourbon,Reunion,BOURBON
ABD,CC,Air Atlanta Icelandic,Iceland,ATLANTA
THT,TN,Air Tahiti Nui,France,TAHITI AIRLINES
AIZ,IZ,Arkia Israel Airlines,Israel,ARKIA
AJM,JM,Air Jamaica,Jamaica,JAMAICA
ADH,AP,Air One,Italy,HERON
RSH,S2,Air Sahara,India,SAHARA
AMC,KM,Air Malta,Malta,AIR MALTA
AJX,NQ,Air Japan,Japan,AIR JAPAN
AKL,4A,Air Kiribati,Kiribati,
AWE,HP,America West Airlines,United States,CACTUS
AWI,ZW,Air Wisconsin,United States,AIR WISCONSIN
TAK,U9,Tatarstan Airlines,Russia,TATARSTAN
AML,QM,Air Malawi,Malawi,MALAWI
AMU,NX,Air Macau,Macao,AIR MACAO
SEY,HM,Air Seychelles,Seychelles,SEYCHELLES
AMX,AM,AeroMéxico,Mexico,AEROMEXICO
ANA,NH,All Nippon Airways,Japan,ALL NIPPON
ANE,YW,Air Nostrum,Spain,AIR NOSTRUM
ANG,PX,Air Niugini,Papua New Guinea,NUIGINI
ABY,G9,Air Arabia,United Arab Emirates,ARABIA
ACA,AC,Air Canada,Canada,AIR CANADA
BTI,BT,Air Baltic,Latvia,AIRBALTIC
ANK,EL,Air Nippon,Japan,ANK AIR
ANO,TL,Airnorth,Australia,TOPEND
ANT,4N,Air North Charter - Canada,Canada,AIR NORTH
ANZ,NZ,Air New Zealand,New Zealand,NEW ZEALAND
SMX,XM,Alitalia Express,Italy,ALIEXPRESS
ARF,GV,Aero Flight,Germany,Aero Fox
APW,JW,Arrow Air,United States,BIG A
ARD,2B,Aerocondor,Portugal,AEROCONDOR
ARE,4C,Aires, S.A., Aerovias de Integracion Regional
ARG,AR,Aerolineas Argentinas,Argentina,ARGENTINA
ASA,AS,Alaska Airlines,ALASKA, Inc.
ASD,4D,Air Sinai,Egypt,AIR SINAI
ASQ,EV,Atlantic Southeast Airlines,United States,ACEY
ASZ,OB,Astrakhan Airlines,Russia,AIR ASTRAKHAN
ATC,TC,Air Tanzania,Tanzania,TANZANIA
VBW,2J,Air Burkina,Burkina Faso,BURKINA
ATM,FO,Airlines Of Tasmania,Australia,AIRTAS
SPM,PJ,Air Saint Pierre,France,
AUA,OS,Austrian Airlines,Austria,AUSTRIAN
AUB,IQ,Augsburg Airways,Germany,AUGSBURG-AIR
AUH,MO,Abu Dhabi Amiri Flight,United Arab Emirates,SULTAN
AUL,5N,Aeroflot-Nord,Russia,DVINA
AUR,GR,Aurigny Air Services,United Kingdom,AYLINE
AUT,AU,Austral Lineas Aereas,Argentina,AUSTRAL
AVA,AV,Avianca - Aerovias Nacionales de Colombia,AVIANCA, S.A.
AVN,NF,Air Vanuatu,Vanuatu,AIR VAN
BGD,B9,Air Bangladesh,Bangladesh,AIR BANGLA
BIE,DR,Air Mediterranee,France,MEDITERRANEE
AWU,7E,Aeroline GmbH,Germany,SYLT-AIR
AWW,6G,Air Wales,United Kingdom,RED DRAGON
FWI,TX,Air Caraïbes,France,FRENCH WEST
AXB,IX,Air India Express,India,EXPRESS INDIA
AXL,XT,Air Exel,Netherlands,EXEL COMMUTER
AXM,AK,AirAsia,Malaysia,ASIAN EXPRESS
AYZ,3G,Atlant-Soyuz Airlines,Russia,ATLANT-SOYUZ
AZA,AZ,Alitalia,Italy,ALITALIA
AZN,Z8,Amaszonas,Bolivia,
AZW,UM,Air Zimbabwe,Zimbabwe,AIR ZIMBABWE
OCA,R7,Aserca Airlines,Venezuela,AROSCA
SDM,FV,Rossiya-Russian Airlines,Russia,PULKOVO
EGF,MQ,American Eagle Airlines,United States,EAGLE FLIGHT
VUN,VU,Air Ivoire,Ivory Coast,AIRIVOIRE
BOT,BP,Air Botswana,Botswana,BOTSWANA
UPA,GS,Air Foyle,United Kingdom,FOYLE
VTA,VT,Air Tahiti,French Polynesia,AIR TAHITI
VIM,VL,Air VIA,Bulgaria,
WTA,FK,Africa West,Togo,WEST TOGO
VAS,V8,ATRAN Cargo Airlines,Russian Federation,ATRAN
CCA,CA,Air China,China,AIR CHINA
CDP,Q6,Aero Condor Peru,Peru,CONDOR-PERU
CVA,CV,Air Chathams,New Zealand,CHATHAM
CWM,CW,Air Marshall Islands,Marshall Islands,AIR MARSHALLS
CYD,ZA,Access Air,United States,CYCLONE
DAH,AH,Air Algerie,Algeria,AIR ALGERIE
DHI,KI,Adam Air,Indonesia,ADAM SKY
DLA,EN,Air Dolomiti,Italy,DOLOMOTI
DNV,D9,Aeroflot-Don,Russia,DONAVIA
DRD,NM,Air Madrid,Spain,ALADA AIR
EIN,EI,Aer Lingus,Ireland,SHAMROCK
FIF,OF,Air Finland,Finland,AIR FINLAND
FJI,FJ,Air Pacific,Fiji,PACIFIC
FLI,RC,Atlantic Airways,Faroe Islands,FAROELINE
FLZ,QH,Air Florida,United States,AIR FLORIDA
FXI,NY,Air Iceland,Iceland,FAXI
GAP,2P,Air Philippines,Philippines,ORIENT PACIFIC
GIP,2U,Air Guinee Express,Guinea,FUTURE EXPRESS
GRL,GL,Air Greenland,Denmark,GREENLAND
GTI,5Y,Atlas Air,United States,GIANT
GUY,GG,Air Guyane,French Guiana,GREEN BIRD
JAB,W9,Air Bagan,Myanmar,AIR BAGAN
JZA,QK,Air Canada Jazz,Canada,JAZZ
KKK,KK,Atlasjet,Turkey,ATLASJET
KOR,JS,Air Koryo,Democratic People's Republic of Korea,AIR KORYO
KZR,KC,Air Astana,Kazakhstan,ASTANALINE
LBC,LV,Albanian Airlines,Albania,ALBANIAN
LNE,XL,Aerolane,Ecuador,LAN ECUADOR
LUR,TD,Atlantis European Airways,Armenia,
LXR,LK,Air Luxor,Portugal,AIRLUXOR
MAU,MK,Air Mauritius,Mauritius,AIRMAURITIUS
MDG,MD,Air Madagascar,Madagascar,AIR MADAGASCAR
MLD,9U,Air Moldova,Moldova,AIR MOLDOVA
MPD,A7,Air Plus Comet,Spain,RED COMET
NIG,AJ,Aero Contractors,Nigeria,AEROLINE
PEL,OT,Aeropelican Air Services,Australia,PELICAN
REA,RE,Aer Arann,Ireland,AER ARANN
REU,UU,Air Austral,France,REUNION
RIT,6K,Asian Spirit,Philippines,ASIAN SPIRIT
RKA,RK,Air Afrique,Ivory Coast,AIRAFRIC
RLA,A5,Airlinair,France,AIRLINAIR
RLN,QL,Aero Lanka,Sri Lanka,AERO LANKA
RNE,20,Air Salone,Sierra Leone,AIR SALONE
RNV,U8,Armavia,Armenia,ARMAVIA
RPB,P5,AeroRep,Colombia,AEROREPUBLICA
RSR,BF,Aero-Service,Republic of the Congo,CONGOSERV
RSU,5L,Aerosur,Bolivia,AEROSUR
SMJ,Z3,Avient Aviation,Zimbabwe,AVAVIA
SYL,R3,Aircompany Yakutia,Russia,AIR YAKUTIA
TAO,VW,Aeromar,Mexico,TRANS-AEROMAR
TFL,OR,Arkefly,Netherlands,ARKEFLY
TOK,CG,Airlines PNG,Papua New Guinea,BALUS
TRS,FL,AirTran Airways,United States,CITRUS
TSC,TS,Air Transat,Canada,TRANSAT
TWN,EC,Avialeasing Aviation Company,Uzbekistan,TWINARROW
TYR,VO,Tyrolean Airways,Austria,TYROLEAN
GLG,2K,Aerolineas Galapagos (Aerogal),Ecuador,AEROGAL
DRU,6R,Alrosa Mirny Air Enterprise,Russia,MIRNY
BAW,BA,British Airways,United Kingdom,SPEEDBIRD
BBC,BG,Biman Bangladesh Airlines,Bangladesh,BANGLADESH
BHP,4T,Belair Airlines,Switzerland,BELAIR
BHS,UP,Bahamasair,Bahamas,BAHAMAS
BIH,BS,British International Helicopters,United Kingdom,BRINTEL
BKP,PG,Bangkok Airways,Thailand,BANGKOK AIR
BLF,KF,Blue1,Finland,BLUEFIN
BLS,JV,Bearskin Lake Air Service,Canada,BEARSKIN
BLV,B3,Bellview Airlines,Nigeria,BELLVIEW AIRLINES
BMA,BD,bmi,United Kingdom,MIDLAND
BMI,WW,bmibaby,United Kingdom,BABY
BMJ,CH,Bemidji Airlines,United States,BEMIDJI
BPA,BV,Blue Panorama Airlines,Italy,BLUE PANOROMA
BRG,8E,Bering Air,United States,BERING AIR
BRU,B2,Belavia Belarusian Airlines,Belarus,BELARUS AVIA
BTV,7P,Metro Batavia,Indonesia,BATAVIA
BVT,J8,Berjaya Air,Malaysia,BERJAYA
BWG,QW,Blue Wings,Germany,BLUE WINGS
BZH,DB,Brit Air,France,BRITAIR
DAT,SN,Brussels Airlines,Belgium,BEE-LINE
IBB,NT,Binter Canarias,Spain,
JOR,0B,Blue Air,Romania,BLUE TRANSPORT
LAJ,KJ,British Mediterranean Airways,United Kingdom,BEE MED
LZB,FB,Bulgaria Air,Bulgaria,FLYING BULGARIA
NKF,8N,Barents AirLink,Sweden,NORDFLIGHT
ICL,5C,CAL Cargo Air Lines,Israel,CAL
CLI,XG,Calima Aviacion,Spain,CALIMA
CDN,CP,Canadian Airlines,Canada,CANADIAN
MPE,5T,Canadian North,Canada,EMPRESS
KAP,9K,Cape Air,United States,CAIR
BWA,BW,Caribbean Airlines,Trinidad and Tobago,CARIBBEAN AIRLINES
KRP,V3,Carpatair,Romania,CARPATAIR
CPN,RV,Caspian Airlines,Iran,CASPIAN
CPA,CX,Cathay Pacific,Hong Kong SAR of China,CATHAY
CAY,KX,Cayman Airways,Cayman Islands,CAYMAN
CEB,5J,Cebu Pacific,Philippines,CEBU AIR
CLW,C0,Centralwings,Poland,CENTRALWINGS
CHQ,RP,Chautauqua Airlines,United States,CHAUTAUQUA
CAL,CI,China Airlines,Taiwan,DYNASTY
CES,MU,China Eastern Airlines,China,CHINA EASTERN
CSN,CZ,China Southern Airlines,China,CHINA SOUTHERN
CUA,HR,China United Airlines,China,LIANHANG
CYH,3Q,Yunnan Airlines,China,YUNNAN
CIM,QI,Cimber Air,Denmark,CIMBER
RUS,C9,Cirrus Airlines,Germany,CIRRUS AIR
SDR,CF,City Airline,Sweden,SWEDESTAR
CIX,G3,City Connexion Airlines,Burundi,CONNEXION
BCY,WX,CityJet,Ireland,CITY-IRELAND
CFE,CJ,BA CityFlyer,United Kingdom,FLYER
CJC,9L,Colgan Air,United States,COLGAN
COM,OH,Comair,United States,COMAIR
CAW,MN,Comair,South Africa,COMMERCIAL
UCA,C5,CommutAir,United States,COMMUTAIR
CWK,KR,Comores Airlines,Comoros,CONTICOM
CPZ,CP,Compass Airlines,United States,Compass Rose
CFG,DE,Condor Flugdienst,Germany,CONDOR
CHP,6A,Consorcio Aviaxsa,Mexico,AVIACSA
KIS,C3,Contact Air,Germany,CONTACTAIR
COA,CO,Continental Airlines,United States,CONTINENTAL
CMI,CS,Continental Micronesia,United States,AIR MIKE
VCV,V0,Conviasa,Venezuela,CONVIASA
CMP,CM,Copa Airlines,Panama,COPA
CRL,SS,Corsairfly,France,CORSAIR
CCM,XK,Corse-Mediterranee,France,CORSICA
CTN,OU,Croatia Airlines,Croatia,CROATIA
CUB,CU,Cubana de Aviación,Cuba,CUBANA
CYP,CY,Cyprus Airways,Cyprus,CYPRUS
CSA,OK,Czech Airlines,Czech Republic,CSA-LINES
DTR,DX,DAT Danish Air Transport,Denmark,DANISH
DAO,D3,Daallo Airlines,Djibouti,DALO AIRLINES
KHB,H8,Dalavia,Russia,DALAVIA
DWT,0D,Darwin Airline,Switzerland,DARWIN
DAL,DL,Delta Air Lines,United States,DELTA
DJB,D8,Djibouti Airlines,Djibouti,DJIBOUTI AIR
DOA,DO,Dominicana de Aviaci,Dominican Republic,DOMINICANA
DMO,E3,Domodedovo Airlines,Russia,DOMODEDOVO
UDC,5D,DonbassAero,Ukraine,DONBASS AERO
HDA,KA,Dragonair,DRAGON, Hong Kong Dragon Airlines
DRK,KB,Druk Air,Bhutan,ROYAL BHUTAN
BAG,DI,dba,Germany,SPEEDWAY
EVA,BR,EVA Air,Taiwan,EVA
UGX,QU,East African,Uganda,CRANE
EZE,T3,Eastern Airways,United Kingdom,EASTFLIGHT
ELA,DK,Eastland Air,Australia,
EDW,WK,Edelweiss Air,Switzerland,EDELWEISS
MSR,MS,Egyptair,Egypt,EGYPTAIR
ELY,LY,El Al Israel Airlines,Israel,ELAL
BRQ,UZ,El-Buraq Air Transport,Libya,BURAQAIR
UAE,EK,Emirates,United Arab Emirates,EMIRATES
EEA,EU,Empresa Ecuatoriana De Aviacion,Ecuador,ECUATORIANA
ERT,B8,Eritrean Airlines,Eritrea,ERITREAN
ELL,OV,Estonian Air,Estonia,ESTONIAN
ETH,ET,Ethiopian Airlines,Ethiopia,ETHIOPIAN
ETD,EY,Etihad Airways,United Arab Emirates,ETIHAD
ECA,UI,Eurocypria Airlines,Cyprus,EUROCYPRIA
EEU,GJ,Eurofly Service,Italy,EUROFLY
ELO,K2,Eurolot,Poland,EUROLOT
EAL,EA,European Air Express,Germany,STAR WING
EWG,EW,Eurowings,Germany,EUROWINGS
EIA,EZ,Evergreen International Airlines,United States,EVERGREEN
XLA,JN,Excel Airways,United Kingdom,EXPO
LHN,EO,Express One International,United States,LONGHORN
BTA,XE,ExpressJet,United States,JET LINK
EZY,U2,easyJet,United Kingdom,EASY
EFA,EF,Far Eastern Air Transport,Taiwan,Far Eastern
FIN,AY,Finnair,Finland,FINNAIR
WBA,FC,Finncomm Airlines,Finland,WESTBIRD
FFM,FY,Firefly,Malaysia,FIREFLY
FAB,7F,First Air,Canada,
FCA,DP,First Choice Airways,United Kingdom,JETSET
FLT,B5,Flightline,United Kingdom,FLIGHTLINE
FWL,RF,Florida West International Airways,United States,FLO WEST
XAX,D7,AirAsia X,Malaysia,XANADU
LIL,TE,FlyLal,Lithuania,LITHUANIA AIR
NDC,LF,FlyNordic,Sweden,NORDIC
BBO,F7,Flybaboo,Switzerland,BABOO
BEE,BE,Flybe,United Kingdom,JERSEY
GSM,B4,Flyglobespan,United Kingdom,GLOBESPAN
FOS,VY,Formosa Airlines,Taiwan,
FRE,FP,Freedom Air,United States,FREEDOM
FFT,F9,Frontier Airlines,United States,FRONTIER FLIGHT
FTA,2F,Frontier Flying Service,United States,FRONTIER-AIR
GBL,GT,GB Airways,United Kingdom,GEEBEE AIRWAYS
GIA,GA,Garuda Indonesia,Indonesia,INDONESIA
GZP,4G,Gazpromavia,Russia,GAZPROMAVIA
TGZ,A9,Georgian Airways,Georgia,TAMAZI
GFG,QB,Georgian National Airlines,Georgia,NATIONAL
GMI,ST,Germania,Germany,GERMANIA
GWI,4U,Germanwings,Germany,GERMAN WINGS
GHB,G0,Ghana International Airlines,Ghana,GHANA AIRLINES
GOW,G8,Go Air,India,GOAIR
GJS,G7,GoJet Airlines,United States,GATEWAY
GLO,G3,Gol Transportes Aéreos,Brazil,GOL TRANSPORTE
GAO,DC,Golden Air,Sweden,GOLDEN
GLA,ZK,Great Lakes Airlines,United States,LAKES AIR
TAT,TA,Grupo TACA,Costa Rica,TACA-COSTARICA
GBA,GF,Gulf Air Bahrain,Bahrain,GULF BAHRAIN
HAG,H6,Hageland Aviation Services,United States,HAGELAND
CHH,HU,Hainan Airlines,China,HAINAN
HAM,2T,Haiti Ambassador Airlines,Haiti,
HHI,4R,Hamburg International,Germany,HAMBURG JET
HLX,X3,TUIfly,Germany,YELLOW CAB
HLF,HF,Hapagfly,Germany,HAPAG LLOYD
HAL,HA,Hawaiian Airlines,United States,HAWAIIAN
HFR,8H,Heli France,France,HELIFRANCE
JBA,JB,Helijet,Canada,HELIJET
HEJ,T4,Hellas Jet,Greece,HELLAS JET
FHE,HW,Hello,Switzerland,FLYHELLO
OAW,2L,Helvetic Airways,Switzerland,HELVETIC
HER,UD,Hex'Air,France,HEX AIRLINE
ADO,HD,Hokkaido International Airlines,Japan,AIR DO
CRK,HX,Hong Kong Airlines,Hong Kong SAR of China,BAUHINIA
HKE,UO,Hong Kong Express Airways,Hong Kong SAR of China,HONGKONG SHUTTLE
QXE,QX,Horizon Air,United States,HORIZON AIR
HZA,BN,Horizon Airlines,Australia,
IBE,IB,Iberia Airlines,Spain,IBERIA
IWD,TY,Iberworld,Spain,
IBX,FW,Ibex Airlines,Japan,IBEX
ICE,FI,Icelandair,Iceland,ICEAIR
ITX,IK,Imair Airlines,Azerbaijan,IMPROTEX
IGO,6E,IndiGo Airlines,India,IFLY
IAC,IC,Indian Airlines,India,INDAIR
IBU,I9,Indigo,United States,INDIGO BLUE
AWQ,QZ,Indonesia AirAsia,Indonesia,WAGON AIR
IAA,IO,Indonesian Airlines,Indonesia,INDO LINES
ILN,D6,Interair South Africa,South Africa,INLINE
SUW,ZA,Interavia Airlines,Russia,ASTAIR
ITK,ID,Interlink Airlines,South Africa,INTERLINK
ISK,3L,Intersky,Austria,INTERSKY
IRA,IR,Iran Air,Iran,IRANAIR
IRC,EP,Iran Aseman Airlines,Iran,
IAW,IA,Iraqi Airways,Iraq,IRAQI
CGP,8L,Cargo Plus Aviation,United Arab Emirates,
ISW,IF,Islas Airways,Spain,PINTADERA
ISV,WC,Islena De Inversiones,Honduras,
ISR,6H,Israir,Israel,ISRAIR
IKA,GI,Itek Air,Kyrgyzstan,ITEK-AIR
JEX,JC,JAL Express,Japan,JANEX
JAZ,JO,JALways,Japan,JALWAYS
JAL,JL,Japan Airlines,Japan,JAPANAIR
JAL,JL,Japan Airlines Domestic,Japan,J-BIRD
JAA,EG,Japan Asia Airways,Japan,ASIA
JTA,NU,Japan Transocean Air,Japan,JAI OCEAN
JZR,J9,Jazeera Airways,Kuwait,JAZEERA
JJA,7C,Jeju Air,Republic of Korea,JEJU AIR
JAI,9W,Jet Airways,India,JET AIRWAYS
JSA,3K,Jetstar Asia Airways,Singapore,JETSTAR ASIA
EXS,LS,Jet2.com,United Kingdom,CHANNEX
JFU,8J,Jet4You,Morocco,ARGAN
JBU,B6,JetBlue Airways,United States,JETBLUE
JAF,JF,Jetairfly,Belgium,BEAUTY
JST,JQ,Jetstar Airways,Australia,JETSTAR
DKH,HO,Juneyao Airlines,China,JUNEYAO AIRLINES
KNI,KD,KD Avia,Russia,KALININGRAD AIR
KLC,WA,KLM Cityhopper,Netherlands,CITY
KLM,KL,KLM Royal Dutch Airlines,Netherlands,KLM
KMF,RQ,Kam Air,Afghanistan,KAMGAR
MVD,KV,Kavminvodyavia,Russia,AIR MINVODY
KEN,M5,Kenmore Air,United States,KENMORE
KQA,KQ,Kenya Airways,Kenya,KENYA
KFR,IT,Kingfisher Airlines,India,KINGFISHER
IRK,Y9,Kish Air,Iran,KISHAIR
KGL,7K,Kogalymavia Air Company,Russia,KOGALYM
KAL,KE,Korean Air,Republic of Korea,KOREANAIR
KJC,7B,Krasnojarsky Airlines,Russia,KRASNOJARSKY AIR
KIL,GW,Kuban Airlines,Russia,AIR KUBAN
KAC,KU,Kuwait Airways,Kuwait,KUWAITI
KZU,GO,Kuzu Airlines Cargo,Turkey,KUZU CARGO
LRC,LR,LACSA,Costa Rica,LACSA
LAN,LA,LAN Airlines,Chile,LAN
DSM,4M,LAN Argentina,Argentina,LAN AR
LXP,LU,LAN Express,Chile,LANEX
LPE,LP,LAN Peru,Peru,LANPERU
LOT,LO,LOT Polish Airlines,Poland,POLLOT
LTE,XO,LTE International Airways,Spain,FUN JET
LTO,L3,LTU Austria,Austria,BILLA TRANSPORT
LAO,QV,Lao Airlines,Lao Peoples Democratic Republic,LAO
LDA,NG,Lauda Air,Austria,LAUDA AIR
LIA,LI,Leeward Islands Air Transport,Antigua and Barbuda,LIAT
LAA,LN,Libyan Arab Airlines,Libya,LIBAIR
LAM,LM,Linhas A,Mozambique,MOZAMBIQUE
LNI,JT,Lion Mentari Airlines,Indonesia,LION INTER
LGW,HE,Luftfahrtgesellschaft Walter,Germany,WALTER
DLH,LH,Lufthansa,Germany,LUFTHANSA
GEC,LH,Lufthansa Cargo,Germany,LUFTHANSA CARGO
CLH,CL,Lufthansa CityLine,Germany,HANSALINE
LTR,L5,Lufttransport,Norway,LUFT TRANSPORT
LGL,LG,Luxair,Luxembourg,LUXAIR
LPR,MJ,L,Argentina,LAPA
MAA,M7,MasAir,Mexico,MAS CARGA
MAK,IN,MAT Macedonian Airlines,Macedonia,MAKAVIO
MGL,OM,MIAT Mongolian Airlines,Mongolia,MONGOL AIR
MNB,MB,MNG Airlines,Turkey,BLACK SEA
MCK,CC,Macair Airlines,Australia,
IRM,W5,Mahan Air,Iran,MAHAN AIR
MAS,MH,Malaysia Airlines,Malaysia,MALAYSIAN
SCW,TF,Malmö Aviation,Sweden,Scanwings
MAC,R5,Malta Air Charter,Malta,MALTA CHARTER
MAH,MA,Malév,Hungary,MALEV
MDL,RI,Mandala Airlines,Indonesia,MANDALA
MDA,AE,Mandarin Airlines,Taiwan,Mandarin
MNO,JE,Mango,South Africa,TULCA
MPH,MP,Martinair,Netherlands,MARTINAIR
MXL,8M,Maxair,Sweden,MAXAIR
MYD,MW,Maya Island Air,Belize,MYLAND
ISS,IG,Meridiana,Italy,MERAIR
MNA,MZ,Merpati Nusantara Airlines,Indonesia,MERPATI
